target,ensembl_id,overall_association_score,genetic_association,genetic_literature,rna_expression,animal_model,known_drug
KRTAP1-4,ENSG00000204887,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
KRTAP1-1,ENSG00000188581,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
KRTAP10-11,ENSG00000243489,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
USP51,ENSG00000247746,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
KRTAP1-5,ENSG00000221852,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
ACTBL2,ENSG00000169067,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
ALDH1L1,ENSG00000144908,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
MAVS,ENSG00000088888,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
KRTAP1-3,ENSG00000221880,0.0805827808711694,0.0,0.0,0.0,0.6627627781628692,0.0
SPTBN1,ENSG00000115306,0.08046729495950757,0.0,0.0,0.0,0.0,0.0
XCR1,ENSG00000173578,0.08042544605832345,0.0428303691601536,0.0,0.0,0.0,0.0
IFNG,ENSG00000111537,0.08010905929013407,0.0,0.0,0.0,0.0,0.0
SIRT2,ENSG00000068903,0.0801018065718559,0.0,0.0,0.0,0.0,0.0
IL33,ENSG00000137033,0.07995801376604166,0.0,0.0,0.0,0.0,0.0
LASP1,ENSG00000002834,0.0798850962343813,0.0,0.0,0.0,0.6570245869120797,0.0
KMT2A,ENSG00000118058,0.07979562711122637,0.0,0.0,0.0,0.6502094293663544,0.0
TNF,ENSG00000232810,0.07970111619987769,0.0,0.0,0.0,0.0,0.0
TIPE3,ENSG00000183578,0.0796660415931165,0.1310445891310337,0.0,0.0,0.0,0.0
FUNDC1,ENSG00000069509,0.0794630421999956,0.0,0.0,0.0,0.6383550827783265,0.0
RAD51,ENSG00000051180,0.07939088583981123,0.0,0.0,0.0,0.0,0.0
NIBAN2,ENSG00000136830,0.07938780600768885,0.0,0.0,0.0,0.0,0.0
TGFB1,ENSG00000105329,0.07933133496114823,0.0,0.0,0.0,0.0,0.0
PCGF2,ENSG00000277258,0.07904481537032733,0.0,0.0,0.0,0.6440342878547813,0.0
THUMPD3-AS1,ENSG00000206573,0.07865295806329077,0.0,0.0,0.0,0.6468907182552258,0.0
CLCN5,ENSG00000171365,0.07858004858987193,0.0,0.0,0.0,0.6417315845354808,0.0
DRG2,ENSG00000108591,0.07842724661579718,0.1290068654588885,0.0,0.0,0.0,0.0
TUG1,ENSG00000253352,0.07842248232433624,0.0,0.0,0.0,0.0,0.0
TRPV5,ENSG00000127412,0.07841067902373666,0.0,0.0,0.0,0.5911323693771838,0.0
FZD9,ENSG00000188763,0.07816991677186517,0.0,0.0,0.0,0.6398782330393098,0.0
FOXO3,ENSG00000118689,0.07798331621315202,0.0,0.0,0.0,0.0,0.0
IL17RA,ENSG00000177663,0.077765761089906,0.0,0.0,0.0,0.0,0.0
FST,ENSG00000134363,0.07775549289612461,0.0,0.0,0.0,0.5719108978531325,0.0
PCP4,ENSG00000183036,0.07762470477870136,0.0,0.0,0.0,0.0,0.0
RPS6KA3,ENSG00000177189,0.07751289716700259,0.0,0.0,0.0,0.6344744962369976,0.0
CASP3,ENSG00000164305,0.07750654687509796,0.0,0.0,0.0,0.6020563960882331,0.0
NPPB,ENSG00000120937,0.07745288088600127,0.0,0.0,0.0,0.0,0.0
RIPPLY2,ENSG00000203877,0.07735593809548896,0.0,0.0,0.0,0.636223221453802,0.0
HOXD11,ENSG00000128713,0.07734033361273562,0.0,0.0,0.0,0.6360948805076394,0.0
FGF23,ENSG00000118972,0.07724131750757088,0.0,0.0,0.0,0.5347432129132472,0.0
UMOD,ENSG00000169344,0.07703134079714276,0.0,0.0,0.0,0.6335535319133028,0.0
METTL9,ENSG00000197006,0.07684694450673156,0.0,0.0,0.0,0.0,0.0
CREB3,ENSG00000107175,0.07662622320462818,0.0,0.0,0.0,0.0,0.0
CLCN7,ENSG00000103249,0.07661326645259693,0.0,0.0,0.0,0.5994050534169338,0.0
CCL2,ENSG00000108691,0.0765637385686439,0.0,0.0,0.0,0.0,0.0
HDAC8,ENSG00000147099,0.07641427942407357,0.0,0.0,0.0,0.6193594744325546,0.0
CDKN1A,ENSG00000124762,0.07637123713503308,0.0,0.0,0.0,0.0,0.0
LFNG,ENSG00000106003,0.07636977584990529,0.0,0.0,0.0,0.6281124113956668,0.0
SLC5A2,ENSG00000140675,0.07636857897305484,0.012158615952232422,0.0,0.0,0.5310908778385023,0.0
ABL1,ENSG00000097007,0.07624657942232456,0.0,0.0,0.0,0.0,0.0
WWTR1,ENSG00000018408,0.07615551928536461,0.0,0.0,0.0,0.3639073754503164,0.0
YBX1,ENSG00000065978,0.07611770209997673,0.0,0.0,0.0,0.0,0.0
IL27,ENSG00000197272,0.0760796556639778,0.0,0.0,0.0,0.0,0.0
ESPL1,ENSG00000135476,0.07600661775670078,0.12502511479153242,0.0,0.0,0.0,0.0
PTHLH,ENSG00000087494,0.07598536178353836,0.0,0.0,0.0,0.5706950362579093,0.0
SIRT5,ENSG00000124523,0.07590840442723054,0.0,0.0,0.0,0.0,0.0
LARGE1,ENSG00000133424,0.07573984751980936,0.0,0.0,0.0,0.6229314900426878,0.0
GSG1L,ENSG00000169181,0.07567511971470416,0.0,0.0,0.0,0.6193594744325546,0.0
RNF2,ENSG00000121481,0.07554397019682647,0.0,0.0,0.0,0.621320473429017,0.0
CLEC3B,ENSG00000163815,0.07540968951629104,0.0,0.0,0.0,0.6026114031325194,0.0
PTCSC3,ENSG00000259104,0.07537375814153001,0.0,0.0,0.0,0.0,0.0
KDM7A,ENSG00000006459,0.07535810232824129,0.0,0.0,0.0,0.5960761470581944,0.0
NPR3,ENSG00000113389,0.07533073732145937,0.0,0.0,0.0,0.6104477520221164,0.0
PRSS1,ENSG00000204983,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
H1-5,ENSG00000184357,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
PRR16,ENSG00000184838,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
LRRN3,ENSG00000173114,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
PRSS3,ENSG00000010438,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
ABCC10,ENSG00000124574,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
C19orf44,ENSG00000105072,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
COG4,ENSG00000103051,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
PRSS2,ENSG00000275896,0.07530553986001946,0.0,0.0,0.0,0.6193594744325546,0.0
HLA-DRB5,ENSG00000198502,0.07527417690290664,0.0,0.0,0.0,0.6191015260177346,0.0
HLA-DRB1,ENSG00000196126,0.07527417690290664,0.0,0.0,0.0,0.6191015260177346,0.0
BMPR2,ENSG00000204217,0.07527099440971351,0.0,0.0,0.0,0.5852853754005882,0.0
MCHR1,ENSG00000128285,0.07514795511642475,0.0,0.0,0.0,0.5751282871646591,0.0
HOXD4,ENSG00000170166,0.07503723515162546,0.0,0.0,0.0,0.6125932890899702,0.0
IFNB1,ENSG00000171855,0.07502046720443854,0.0,0.0,0.0,0.5712894574822407,0.0
